,Country Name,ControlofCorruption,PoliticalStability,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,VoiceandAccountability,GDP per capita,GDP growth,debt index,Inflation rate,fiscal balance,trade index,unemployment,School enrollment,Life expectancy,Intentional homicides,gini index,得分,稳定系数
112,Ukraine,-0.077162725,-0.12635316,-0.039623068,-0.026148049,-0.068418711,0.00897458,0.013312712,-0.050573091,0.097652065,0.097617293,-0.070615085,0.064583517,0.09262206,0.1338675,0.088628368,0.088490234,0.074833759,0.006445315,0.178896688
97,Russian Federation,-0.086450219,-0.075912798,-0.008034147,-0.048543098,-0.078080678,-0.10545488,0.036084083,-0.035897011,0.11564525,0.098648357,-0.047713455,0.09002972,0.10097554,0.134003618,0.08881968,0.085317569,0.108432589,0.006395375,0.175443298
12,Bosnia and Herzegovina,-0.058980929,-0.049219852,-0.107951653,-0.017282422,-0.02880765,-0.031610558,0.021333259,-0.042035811,0.104042794,0.08303331,-0.055840534,0.078159292,0.056555332,0.060752326,0.094903221,0.098969241,0.086287905,0.006353742,0.172564337
65,Lesotho,-0.010701975,-0.028031415,-0.098365575,-0.06754529,-0.046154244,-0.001250072,0.003512383,-0.112611464,0.088807674,0.098648357,0.002566048,0.057339531,0.040102358,0.015921243,0.068095007,0.044190928,0.061852392,0.006340759,0.171666562
9,Burkina Faso,-0.009378454,-0.170800302,-0.06993605,-0.048589301,-0.043748773,-0.017923237,0.002956692,0.026013214,0.090682468,0.094348616,-0.067966654,0.125045913,0.10097554,0.01256659,0.074367521,0.100442102,0.108432589,0.006192478,0.161412848
110,Tanzania,-0.033991312,-0.05176147,-0.073951634,-0.069893259,-0.058287441,-0.071971901,0.003697786,0.026902886,0.088807674,0.098648357,-0.029871403,0.146053619,0.094089561,0.012545747,0.082680658,0.09337609,0.108432589,0.006101736,0.155137975
105,Eswatini,-0.023771855,-0.006208514,-0.075146084,-0.049101027,-0.048505238,-0.13093507,0.011968414,-0.02101787,0.088807674,0.098648357,-0.055115473,0.074019067,0.032651954,0.01706277,0.074318965,0.079982717,0.020235659,0.006075243,0.153305981
13,Belarus,-0.010477986,-0.099475603,-0.082609523,-0.0813749,-0.104463685,-0.143010487,0.023216523,-0.009427969,0.104415838,0.096535629,-0.034249679,0.070656936,0.10097554,0.138738604,0.092415418,0.094143021,0.065670441,0.006035321,0.150545311
63,Lao PDR,-0.101343349,0.075382175,-0.077113187,-0.084629071,-0.085048191,-0.176418535,0.009202285,0.006778898,0.088807674,0.098247227,-0.066718707,0.077221589,0.088812192,0.02159788,0.085281547,0.088765517,0.108432589,0.005971527,0.146133908
46,Guatemala,-0.105955463,-0.046499125,-0.071036333,-0.026529511,-0.107103131,-0.037032216,0.016338923,-0.023772924,0.111350398,0.098648357,-0.058652663,0.171969932,0.10097554,0.036727516,0.089390181,0.062331182,0.081324442,0.00593931,0.143906077
60,Kenya,-0.081514626,-0.111292815,-0.041404464,-0.052068619,-0.054612198,-0.034148487,0.006871227,-0.003371118,0.088807674,0.097088066,-0.097005677,0.077364787,0.100580443,0.023578532,0.078032921,0.094100866,0.098887467,0.005855545,0.138113696
120,Zambia,-0.068792062,-0.014445563,-0.083018983,-0.069550668,-0.062722721,-0.04215369,0.003395229,-0.037531627,0.074959543,0.057281391,-0.164459175,0.125701927,0.10097554,0.010700498,0.077665634,0.093265588,0.059943368,0.005826641,0.136114958
111,Uganda,-0.098118098,-0.089890151,-0.060786749,-0.048558279,-0.033340582,-0.069968679,0.003004677,0.039772044,0.104982288,0.098648357,-0.089116356,0.091244341,0.10097554,0.009133545,0.078252048,0.079827852,0.08896054,0.005767376,0.132016679
32,"Egypt, Arab Rep.",-0.075077745,-0.129479135,-0.043470547,-0.057685182,-0.03076071,-0.145951667,0.012060339,0.048105154,0.071921099,0.098475171,-0.089118405,0.110046424,0.10097554,0.062621949,0.088385434,0.100058884,0.086287905,0.005715148,0.128405113
61,Kyrgyz Republic,-0.104523794,-0.050903538,-0.05512023,-0.04165125,-0.092724316,-0.057924488,0.004196071,-0.113177036,0.0908335,0.093539735,-0.03883761,0.111014026,0.10097554,0.074421529,0.089393917,0.097978837,0.100796491,0.005714498,0.128360154
35,Ethiopia,-0.034685673,-0.195157,-0.056948248,-0.099477361,-0.038881996,-0.101865791,0.003259755,0.081658728,0.107800374,0.039459869,-0.032984398,0.096635226,0.100439337,0.01706277,0.08138955,0.078251985,0.108432589,0.005689198,0.126610645
80,Mauritania,-0.075410092,-0.079962192,-0.083512991,-0.090857705,-0.058698771,-0.081170816,0.006630084,-0.012647519,0.088807674,0.09628062,0.032644026,0.12867555,0.077834136,0.009411841,0.080344961,0.088765517,0.108432589,0.005652019,0.124039693
95,West Bank and Gaza,-0.052734347,-0.222873168,-0.067105785,0.00809529,-0.04582764,-0.111168446,0.011474025,-0.152528564,0.088807674,0.084251141,0.07060379,0.061264555,0,0.069047606,0.092634757,0.099807786,0.108432589,0.005649419,0.12385989
15,Bolivia,-0.078368003,-0.051052724,-0.072634316,-0.1056434,-0.11967244,-0.008213332,0.010889403,-0.117752437,0.088807674,0.09071129,-0.151803077,0.078023087,0.10097554,0.087024209,0.080264034,0.086343657,0.080942637,0.005635385,0.122889418
83,Niger,-0.058715663,-0.184077381,-0.065673617,-0.081110817,-0.055162554,-0.048200466,0.00200422,0.047843153,0.088807674,0.098255962,-0.06369829,0.123947242,0.092734943,0.007006772,0.076508991,0.090961745,0.108432589,0.005624419,0.122131155
106,Togo,-0.06725744,-0.101768368,-0.072063314,-0.067288952,-0.0645171,-0.073726774,0.003183614,0.023621211,0.088807674,0.094129306,-0.08203365,0.086456466,0.10097554,0.024672748,0.075991054,0.088765517,0.080942637,0.005590011,0.119751753
5,Azerbaijan,-0.100486521,-0.093162033,-0.012098347,-0.033559097,-0.071017929,-0.151681435,0.015009454,-0.057947149,0.115463497,0.097722583,-0.079725975,0.067732936,0.10097554,0.056472201,0.083253376,0.096797033,0.0702521,0.005556476,0.117432793
10,Bangladesh,-0.093113946,-0.102423481,-0.078114257,-0.093790278,-0.055569009,-0.075633435,0.007924682,0.046465816,0.098392259,0.095984724,-0.057757422,0.049822817,0.097137454,0.03839548,0.089603083,0.09397707,0.086287905,0.005548538,0.116883891
47,Honduras,-0.09202693,-0.052027198,-0.063494179,-0.049964564,-0.098406875,-0.060775052,0.00835338,-0.120809832,0.088807674,0.098648357,-0.055547464,0.122456125,0.085848962,0.039921942,0.088973093,0.019554516,0.020235659,0.00545104,0.110141866
71,Madagascar,-0.094119853,-0.058809946,-0.106359102,-0.082468229,-0.085326853,-0.025612586,0.001640799,-0.096187839,0.088807674,0.098648357,-0.047196968,0.046507366,0.10097554,0.008855249,0.081154238,0.088765517,0.108432589,0.005435134,0.109041911
28,Djibouti,-0.069446947,-0.050514487,-0.07532535,-0.087284158,-0.101829166,-0.138414658,0.010354245,0.016198546,0.088807674,0.093936079,-0.020659041,0.076524968,0.004374288,0.010262983,0.078056577,0.088765517,0.061852392,0.005406051,0.107030846
115,Uzbekistan,-0.099848311,-0.047683896,-0.054852766,-0.101383243,-0.106793217,-0.150712011,0.006208495,0.025419193,0.088807674,0.0683235,-0.039048593,0.137175886,0.10097554,0.025506506,0.087564952,0.098285716,0.108432589,0.00539222,0.106074423
42,Guinea,-0.090072818,-0.074095528,-0.097374359,-0.089397186,-0.126271434,-0.090317819,0.003809783,0.066305907,0.088807674,0.077056919,-0.037187161,0.082924055,0.10097554,0.00935817,0.073864525,0.088765517,0.108432589,0.005363434,0.104083797
85,Nicaragua,-0.110322182,-0.066843105,-0.067294596,-0.068874988,-0.11739376,-0.10794493,0.006611074,-0.024121854,0.088807674,0.098648357,-0.026319746,0.202608146,0.10097554,0.036727516,0.089387691,0.086343657,0.073306539,0.005337759,0.102308362
79,Mozambique,-0.07284559,-0.144090954,-0.080236224,-0.078373575,-0.104570637,-0.058946041,0.001596625,-0.016628213,0.075370229,0.098648357,-0.064216549,0.065297389,0.10097554,0.012103906,0.076161625,0.096197688,0.05230727,0.005148674,0.089232989
108,Tajikistan,-0.126226216,-0.056273507,-0.073086312,-0.107670558,-0.121496116,-0.175025249,0.003024429,0.059295425,0.088807674,0.098648357,-0.051778909,0.067602375,0.083873478,0.048743323,0.084655292,0.099872968,0.086287905,0.005137563,0.088464675
88,Pakistan,-0.0791731,-0.19824373,-0.05591822,-0.075982652,-0.068779448,-0.086283502,0.004692115,-0.017169705,0.088807674,0.080378841,-0.083902668,0.041280238,0.084720114,0.01706277,0.082507597,0.093224827,0.086287905,0.005085363,0.084854966
75,Mali,-0.074489679,-0.236952914,-0.120615686,-0.068348681,-0.092553333,-0.072325147,0.002920008,-0.01664903,0.088807674,0.088773897,-0.06467327,0.151325944,0.098322745,0.009133545,0.073000467,0.088765517,0.108432589,0.004914506,0.073040095
53,"Iran, Islamic Rep.",-0.103665424,-0.188422705,-0.10278788,-0.152174558,-0.086047417,-0.145227216,0.009745424,0.044879236,0.088807674,0,-0.06880271,0.100227145,0.091436768,0.093279365,0.09316888,0.096839435,0.098887467,0.00480924,0.065760851
84,Nigeria,-0.102923446,-0.207680039,-0.115446338,-0.104698629,-0.081885251,-0.057102,0.007361579,-0.024179499,0.088807674,0.06686543,-0.066559376,0.084200381,0.10097554,0.025089627,0.065846463,0.056677288,0.108432589,0.004804057,0.065402445
23,Cameroon,-0.105972212,-0.166615477,-0.093124777,-0.084576924,-0.11410598,-0.118545629,0.005461465,0.003502877,0.088807674,0.096480714,-0.038041953,0.090977085,0.10097554,0.023853,0.075739556,0.096197688,0.079033612,0.004750856,0.061723558
44,Guinea-Bissau,-0.127609011,-0.081574292,-0.150165152,-0.131341762,-0.136479101,-0.044413825,0.002520287,-0.032342594,0.088807674,0.091479332,-0.114997895,0.070951438,0.10097554,0.010262983,0.074701192,0.097548119,0.108432589,0.004737275,0.060784454
6,Burundi,-0.146774978,-0.170659115,-0.13255448,-0.108212611,-0.13077267,-0.150238513,0.00076939,0.004408793,0.088807674,0.089702038,-0.078575092,0.139745552,0.084212132,0.007959376,0.076652171,0.090631642,0.108432589,0.00419098,0.023007713
116,"Venezuela, RB",-0.148104852,-0.172117836,-0.193574722,-0.232950753,-0.231142105,-0.14908877,0.027129209,-0.082086658,0.088807674,0.096031252,-0.059791473,0.105132024,0.10097554,0.112502592,0.088516163,0.031165591,0.087051515,0.003858262,0
