,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,average
60,Morocco,0.230932523,0.286487758,0.284364291,0.258732212,0.276775466,0.28389097,0.25003712,0.246567874,0.265990028,0.294831194,0.307850752,0.335679513,0.296974506,0.329628142,0.339491025,0.336785397,0.334436021,0.344680363,0.350217087,0.297597487
86,Mozambique,0.171130329,0.206954331,0.216116191,0.209315606,0.208793109,0.226142681,0.203351262,0.190123464,0.213510862,0.217269415,0.265729463,0.236551532,0.195869285,0.219730633,0.23461049,0.213429594,0.234894454,0.226583375,0.233324344,0.217022654
5,Netherlands,0.663613756,0.664755126,0.663920342,0.659708592,0.641454498,0.621367317,0.600836426,0.603300013,0.635330511,0.712138186,0.691326302,0.675082049,0.639523526,0.694588419,0.630660253,0.637970789,0.627810238,0.586566935,0.623077802,0.645949004
99,Nicaragua,0.256714591,0.257806273,0.235089908,0.212063295,0.205758141,0.2325859,0.224922686,0.22347102,0.261703028,0.282322824,0.256390383,0.298345327,0.25070489,0.273746845,0.266739843,0.267064172,0.248338587,0.262063555,0.276200208,0.252212183
95,Niger,0.18761086,0.25307054,0.253386576,0.212346972,0.240825132,0.252493428,0.210788197,0.209106486,0.229641582,0.254606146,0.255916094,0.26456626,0.208956712,0.227778177,0.254154011,0.242972602,0.22906031,0.242712709,0.257490572,0.236183335
116,Nigeria,0.214343995,0.264436158,0.269552227,0.238610082,0.244916012,0.251583757,0.199924067,0.204887401,0.237229711,0.277798904,0.273833535,0.283058483,0.211180655,0.246441702,0.258394726,0.237900652,0.221802562,0.228486887,0.270095523,0.243919844
59,North Macedonia,0.358413005,0.371992709,0.377695512,0.363052219,0.380099012,0.412805697,0.415523146,0.406016433,0.389069001,0.382209737,0.390081661,0.375436414,0.352368687,0.382464991,0.339450323,0.358649891,0.347707811,0.343453708,0.355386142,0.373782953
3,Norway,0.868017738,0.908166671,0.891540054,0.862478633,0.802842679,0.751297703,0.708273432,0.709511499,0.720054661,0.683227967,0.659504986,0.672570442,0.649323367,0.673259408,0.632477053,0.614629636,0.600970158,0.583913623,0.578937683,0.714263021
103,Pakistan,0.195730964,0.255918932,0.261668988,0.235441048,0.246762596,0.261042906,0.217310267,0.217877422,0.224556253,0.269057503,0.272661914,0.282563857,0.225408407,0.248292981,0.260180363,0.249077795,0.235301401,0.258607258,0.245269971,0.245406886
67,Panama,0.48094775,0.498557124,0.480787222,0.477633851,0.442155762,0.431186997,0.434109003,0.429064664,0.455644395,0.406016082,0.403378722,0.431290349,0.396145386,0.424716252,0.394910515,0.356646292,0.344819891,0.336142311,0.295848189,0.416842145
108,Paraguay,0.323400555,0.306503443,0.317800516,0.329706634,0.276204213,0.30880507,0.358870141,0.37772613,0.379075124,0.223257489,0.204956203,0.216023534,0.381079042,0.320878581,0.372561178,0.359248551,0.37481478,0.402326885,0.393043698,0.32769904
63,Peru,0.380787696,0.376464767,0.398808564,0.397902261,0.377157927,0.37444927,0.423582223,0.636465617,0.461467683,0.454183574,0.368474069,0.50679846,0.511400594,0.562790652,0.562455431,0.536576541,0.552413366,0.567323903,0.570398823,0.474731654
85,Philippines,0.388743146,0.383447696,0.363706377,0.351442884,0.334777801,0.368727361,0.33181738,0.320052394,0.348266494,0.377415228,0.337889643,0.374775844,0.343777425,0.372203152,0.359150034,0.32487877,0.290099408,0.305043465,0.30582252,0.346423001
29,Poland,0.691582474,0.704710541,0.698868565,0.704511655,0.693311664,0.684716385,0.688943925,0.704765105,0.733564927,0.706407894,0.674936588,0.647100513,0.582692189,0.592460909,0.544728831,0.528513659,0.51495221,0.505173659,0.503882335,0.637148633
22,Portugal,0.638540813,0.659796221,0.651136551,0.628011636,0.602486635,0.603995716,0.612464804,0.617900209,0.651261916,0.652528031,0.62572004,0.594106593,0.5573582,0.549011636,0.514084898,0.503935488,0.497307225,0.499586974,0.513535499,0.588040478
54,Romania,0.424137528,0.496050392,0.522812325,0.539945902,0.576017326,0.607833839,0.649179873,0.671190956,0.639206803,0.576309397,0.496160542,0.474380738,0.431597667,0.446850337,0.429242126,0.418642311,0.412624312,0.410459915,0.425519049,0.507797965
105,Russian Federation,0.786578814,0.806330577,0.792364994,0.791585988,0.758104846,0.73355782,0.725435744,0.729494201,0.721763827,0.71892819,0.689430832,0.691781575,0.655503946,0.690981973,0.634181578,0.617883732,0.61180854,0.603740065,0.584180846,0.702296741
37,Rwanda,0.174495536,0.186942257,0.227377506,0.200816173,0.185521163,0.185477027,0.205355736,0.198425998,0.22387826,0.231016603,0.237425793,0.247223624,0.211494551,0.227950633,0.244274697,0.222057759,0.208679422,0.235734425,0.228345482,0.214868034
50,Senegal,0.203339044,0.261775844,0.2694757,0.241394178,0.255608503,0.272468073,0.237069599,0.228023447,0.246694222,0.278663003,0.276795209,0.294242739,0.239095943,0.255262419,0.269658495,0.259953415,0.247912943,0.260451798,0.284525668,0.25696896
65,Serbia,0.451961602,0.496766876,0.504413824,0.505662262,0.523100562,0.520160711,0.49562845,0.504384311,0.491375987,0.494599701,0.499644546,0.510934988,0.497594957,0.515639859,0.497132329,0.514421519,0.499855902,0.494389241,0.499345202,0.500895412
36,Slovak Republic,0.41078144,0.446799643,0.449309149,0.4768109,0.493182961,0.520791984,0.539970699,0.556071893,0.570564047,0.541456283,0.518811261,0.504405371,0.462762808,0.461528067,0.406747272,0.379264768,0.369529907,0.366773656,0.379846065,0.466074114
26,Slovenia,0.786589724,0.803052044,0.805730795,0.864111796,0.837710363,0.816618119,0.821973822,0.828251644,0.859898978,0.780858879,0.764636903,0.737119751,0.683684756,0.686821053,0.605719829,0.584216004,0.55857707,0.545551779,0.552777499,0.732836885
42,South Africa,0.189380568,0.185750345,0.179308723,0.157552741,0.148833746,0.178812145,0.190387972,0.209445719,0.195951008,0.196653352,0.183859577,0.182832745,0.182440053,0.205737675,0.163777282,0.165984556,0.167605072,0.148120268,0.141458433,0.177573262
21,Spain,0.734894329,0.75347074,0.75477118,0.745309659,0.724059291,0.698507176,0.684133479,0.695967176,0.731016168,0.730969419,0.711365302,0.692874637,0.696685961,0.716880709,0.650101562,0.657274305,0.648264054,0.637551203,0.645379365,0.700498722
57,Sri Lanka,0.247755146,0.281169098,0.289561943,0.243367491,0.262350827,0.289715135,0.230481967,0.24864578,0.279707845,0.305703542,0.307270241,0.323251683,0.269531479,0.289434629,0.291568661,0.279211033,0.267768799,0.282374794,0.300458576,0.278385719
2,Sweden,0.889203335,0.91266336,0.91948336,0.895361742,0.818431588,0.745548686,0.692479133,0.688538639,0.723201893,0.686308998,0.630103166,0.582711458,0.536282941,0.556426403,0.521552354,0.520813659,0.538438442,0.551978582,0.578586614,0.683584966
4,Switzerland,0.508735041,0.55273046,0.554579879,0.534890135,0.524106858,0.517329561,0.502912605,0.510083172,0.544763618,0.54823518,0.537606303,0.537721725,0.502098136,0.524328801,0.48803822,0.478421602,0.472089155,0.473869187,0.477821801,0.515282181
118,Tajikistan,0.282138213,0.338141276,0.34113176,0.317318764,0.331335237,0.343501594,0.310117783,0.299703107,0.316868944,0.335222724,0.326291083,0.337379185,0.296208067,0.320810728,0.331713222,0.326802331,0.302202843,0.31804902,0.304581782,0.319974614
